importedmediaID,Credit,URL,Caption,Type,exptID
1,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/FPLandUse.jpg,FPLandUse,jpg,NorthWyke
2,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/NWFPmap.png,NWFPmap,png,NorthWyke
3,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/chambers.jpg,chambers,jpg,NorthWyke
4,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/eweslambs.jpg,eweslambs,jpg,NorthWyke
5,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/flumelab.jpg,flumelab,jpg,NorthWyke
6,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/flumeswaterflow.jpg,flumeswaterflow,jpg,NorthWyke
7,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/herbage.jpg,herbage,jpg,NorthWyke
8,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/measurestation.jpg,measurestation,jpg,NorthWyke
9,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/yearlingcattle.jpg,yearlingcattle,jpg,NorthWyke
10,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/1623-map.jpg,1623 map,jpg,met
11,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/2011-new-thousand-acre-gauge-23-03-2011.jpg,2011 new thousand acre gauge 23 03 2011,jpg,met
12,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/2013-Ploughing-Broadbalk.jpg,2013 Ploughing Broadbalk,jpg,met
13,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/5raingaugeandturfwall.jpg,5raingaugeandturfwall,jpg,met
14,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/Daily-weather-recording.jpg,Daily weather recording,jpg,met
15,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/InsideStevenson.jpg,InsideStevenson,jpg,met
16,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/MetStation.jpg,MetStation,jpg,met
17,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/RES-rain-gauge.jpg,RES rain gauge,jpg,met
18,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/RES-sun-recorder.jpg,RES sun recorder,jpg,met
19,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/RES-thermometers.jpg,RES thermometers,jpg,met
20,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/RES-wind-tower.jpg,RES wind tower,jpg,met
21,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/Raingaugebelow40.jpg,Raingaugebelow40,jpg,met
22,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/Rainy-Days.jpg,Rainy Days,jpg,met
23,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/Rainy-day.jpg,Rainy day,jpg,met
24,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/RothGEtempprobes.jpg,RothGEtempprobes,jpg,met
25,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/RothStevensonScreen.jpg,RothStevensonScreen,jpg,met
26,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/Rothamsted-grassmin.jpg,Rothamsted grassmin,jpg,met
27,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/Rothamsted-misty-day.jpg,Rothamsted misty day,jpg,met
28,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/Rothamsted-windy-day-2.jpg,Rothamsted windy day 2,jpg,met
29,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/Rothamsted-windy-day.jpg,Rothamsted windy day,jpg,met
30,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/Soildrains.jpg,Soildrains,jpg,met
31,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/WindInstruments.jpg,WindInstruments,jpg,met
32,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/WindInstrumentscloseup.jpg,WindInstrumentscloseup,jpg,met
33,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/anemometer.gif,anemometer,gif,met
34,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/met.jpg,met,jpg,met
35,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/met2.jpg,met2,jpg,met
36,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/misty-day-Rothamsted.jpg,misty day Rothamsted,jpg,met
37,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/new-thousandth-acre-gauge.jpg,new thousandth acre gauge,jpg,met
38,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/rain-gauge.jpg,rain gauge,jpg,met
39,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/rainbow-ianfrancis.jpg,rainbow ianfrancis,jpg,met
40,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/rainbow.jpg,rainbow,jpg,met
41,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/rainy-day-at-Rothamsted.tif,rainy day at Rothamsted,tif,met
42,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/rainy-day-at-Rothamsted2.PNG,rainy day at Rothamsted2,PNG,met
43,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/snowy-day-at-Rothamsted-landscape.jpg,snowy day at Rothamsted landscape,jpg,met
44,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/snowy-day-at-Rothamsted-portrait.jpg,snowy day at Rothamsted portrait,jpg,met
45,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/soilsmap-orig.png,soilsmap orig,png,met
46,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/soilsmap-ty.png,soilsmap ty,png,met
47,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/solar.gif,solar,gif,met
48,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/stevenson.jpg,stevenson,jpg,met
49,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/stevenson2.jpg,stevenson2,jpg,met
50,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/sun-recorder.jpg,sun recorder,jpg,met
51,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/sunny-day-at-Rothamsted.jpg,sunny day at Rothamsted,jpg,met
52,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/sunny-day-at-rothamsted-2.jpg,sunny day at rothamsted 2,jpg,met
53,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/thermometers.jpg,thermometers,jpg,met
54,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/thermometr-and-logger.jpg,thermometr and logger,jpg,met
55,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/wind-direction-video.AVI,wind direction video,AVI,met
56,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/wind-direction.png,wind direction,png,met
57,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/wind-run.png,wind run,png,met
58,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/wind-speed-video.AVI,wind speed video,AVI,met
59,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/wind-speed.png,wind speed,png,met
60,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/wind-tower.jpg,wind tower,jpg,met
61,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/windy-day-2.jpg,windy day 2,jpg,met
62,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/met/windy-day.jpg,windy day,jpg,met
63,eRA curators,http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/others/2013-Fosters.jpg,2013 Fosters,jpg,others
