Credit URL Caption Type exptID 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/NorthWyke/FPLandUse.jpg" "FPLandUse" "Other" "NorthWyke" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/NorthWyke/FPmap-Nov13-ty.png" "FPmap-Nov13-ty.png" "Other" "NorthWyke" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/NorthWyke/FPmap-Nov13.pdf" "FPmap-Nov13.pdf" "Other" "NorthWyke" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/NorthWyke/NWFPmap.pdf" "NWFPmap.pdf" "Other" "NorthWyke" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/NorthWyke/NWFPmap.png" "NWFPmap.png" "Other" "NorthWyke" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/NorthWyke/chambers.jpg" "chambers" "Other" "NorthWyke" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/NorthWyke/eweslambs.jpg" "eweslambs" "Other" "NorthWyke" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/NorthWyke/flumelab.jpg" "flumelab" "Other" "NorthWyke" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/NorthWyke/flumeswaterflow.jpg" "flumeswaterflow" "Other" "NorthWyke" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/NorthWyke/herbage.jpg" "herbage" "Other" "NorthWyke" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/NorthWyke/measurestation.jpg" "measurestation" "Other" "NorthWyke" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/NorthWyke/old-NWFPmap.png" "old-NWFPmap.png" "Other" "NorthWyke" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/NorthWyke/ty-NWFPmap.png" "ty-NWFPmap.png" "Other" "NorthWyke" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/NorthWyke/ty-chambers.jpg" "ty-chambers" "Other" "NorthWyke" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/NorthWyke/ty-eweslambs.jpg" "ty-eweslambs" "Other" "NorthWyke" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/NorthWyke/ty-flumelab.jpg" "ty-flumelab" "Other" "NorthWyke" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/NorthWyke/ty-flumeswaterflow.jpg" "ty-flumeswaterflow" "Other" "NorthWyke" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/NorthWyke/ty-herbage.jpg" "ty-herbage" "Other" "NorthWyke" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/NorthWyke/ty-measurestation.jpg" "ty-measurestation" "Other" "NorthWyke" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/NorthWyke/ty-yearlingcattle.jpg" "ty-yearlingcattle" "Other" "NorthWyke" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/NorthWyke/yearlingcattle.jpg" "yearlingcattle" "Other" "NorthWyke" 

"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/Woburn/5472-Aerial-Images-2015-Woburn-Fields-Stackyard-08.jpg" "5472-Aerial-Images-2015-Woburn-Fields-Stackyard-08" "Other" "Woburn" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/Woburn/Woburn-Farm-Fields-Map-2009.pdf" "Woburn-Farm-Fields-Map-2009.pdf" "Other" "Woburn" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/Woburn/Woburn-Farm-map-750.jpg" "Woburn-Farm-map-750" "Other" "Woburn" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/Woburn/Woburn-LTEs-750.jpg" "Woburn-LTEs-750" "Other" "Woburn" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/Woburn/Woburn-farm-field-plan-green.pdf" "Woburn-farm-field-plan-green.pdf" "Other" "Woburn" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/Woburn/Woburn-farm-soil-series-map.pdf" "Woburn-farm-soil-series-map.pdf" "Other" "Woburn" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/Woburn/Woburn-farm-soil-texture-map.pdf" "Woburn-farm-soil-texture-map.pdf" "Other" "Woburn" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/Woburn/Woburn-ley-arable-675.jpg" "Woburn-ley-arable-675" "Other" "Woburn" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/Woburn/WoburnSoils.jpg" "WoburnSoils" "Other" "Woburn" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/Woburn/ty-Woburn-Farm-map-100.jpg" "ty-Woburn-Farm-map-100" "Other" "Woburn" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/Woburn/ty-Woburn-LTEs-100.jpg" "ty-Woburn-LTEs-100" "Other" "Woburn" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/Woburn/woburn2.jpg" "woburn2" "Other" "Woburn" 

"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/1623-map.jpg" "1623-map" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/2011-new-thousand-acre-gauge-23-03-2011.jpg" "2011-new-thousand-acre-gauge-23-03-2011" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/2013-Ploughing-Broadbalk.jpg" "2013-Ploughing-Broadbalk" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/5raingaugeandturfwall.jpg" "5raingaugeandturfwall" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/Daily-weather-recording.jpg" "Daily-weather-recording" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/InsideStevenson.jpg" "InsideStevenson" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/MetApplicationapplication-workflow.pdf" "MetApplicationapplication-workflow.pdf" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/MetStation.jpg" "MetStation" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/Question-sheet-Measuring-the-weather-at-Rothamsted.pdf" "Question-sheet-Measuring-the-weather-at-Rothamsted.pdf" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/RES-rain-gauge.jpg" "RES-rain-gauge" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/RES-sun-recorder.jpg" "RES-sun-recorder" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/RES-thermometers.jpg" "RES-thermometers" "Other" "met" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/met/RES-wind-tower.jpg" "RES-wind-tower" "Other" "met" 
