importedmediaID	Credit	URL	Caption	Type	exptID
1	Rothamsted VCU	http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/FPLandUse.jpg	FPLandUse	Other	NorthWyke
2	Rothamsted VCU	http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/FPmap-Nov13-ty.png	FPmap Nov13 ty.png	Thumbnail	NorthWyke
3	Rothamsted VCU	http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/FPmap-Nov13.pdf	FPmap Nov13.pdf	Other	NorthWyke
4	Rothamsted VCU	http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/NWFPmap.pdf	NWFPmap.pdf	Other	NorthWyke
5	Rothamsted VCU	http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/NWFPmap.png	NWFPmap.png	Other	NorthWyke
6	Rothamsted VCU	http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/chambers.jpg	chambers	Other	NorthWyke
7	Rothamsted VCU	http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/eweslambs.jpg	eweslambs	Other	NorthWyke
8	Rothamsted VCU	http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/flumelab.jpg	flumelab	Other	NorthWyke
9	Rothamsted VCU	http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/flumeswaterflow.jpg	flumeswaterflow	Other	NorthWyke
10	Rothamsted VCU	http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/herbage.jpg	herbage	Other	NorthWyke
11	Rothamsted VCU	http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/measurestation.jpg	measurestation	Other	NorthWyke
12	Rothamsted VCU	http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/old-NWFPmap.png	old NWFPmap.png	Other	NorthWyke
13	Rothamsted VCU	http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/ty-NWFPmap.png	ty NWFPmap.png	Thumbnail	NorthWyke
14	Rothamsted VCU	http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/ty-chambers.jpg	ty chambers	Thumbnail	NorthWyke
15	Rothamsted VCU	http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/ty-eweslambs.jpg	ty eweslambs	Thumbnail	NorthWyke
16	Rothamsted VCU	http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/ty-flumelab.jpg	ty flumelab	Thumbnail	NorthWyke
17	Rothamsted VCU	http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/ty-flumeswaterflow.jpg	ty flumeswaterflow	Thumbnail	NorthWyke
18	Rothamsted VCU	http://local-info.rothamsted.ac.uk/eRA/era2018-new/images/metadata/NorthWyke/ty-herbage.jpg	ty herbage	Thumbnail	NorthWyke
