id,isReviewed,order,isInfo,pageType,exptID,FileName,Type,Caption,Description,KeyRefs,Credit
3,0,0,0,experiment,bms,index,html,Brooms Barn Met Station ,,,eRA curators
1,1,0,1,experiment,bms,measurements,html,bms measurements,,,eRA curators
2,1,0,0,experiment,bms,overview,html,bms Overview,,,eRA curators
6,1,0,1,site,broomsbarn,experiments,html,Brooms Barn Experiments,,,eRA curators
8,1,0,1,site,broomsbarn,history,html,History of Broom's Barn,,,eRA curators
5,0,0,0,site,broomsbarn,index,html,Brooms Barn,,,eRA curators
7,1,0,0,site,broomsbarn,overview,html,Brooms Barn: overview,,,eRA curators
4,1,0,0,site,broomsbarn,site,html,Brooms Bar site,,,eRA curators
9,0,0,0,default,curation,style,html,Styles and Colors,,,eRA curators
10,0,0,0,default,curation,style2,html,Styles and Colors,,,eRA curators
11,1,0,1,default,default,about,html,About e-RA,,,eRA curators
15,1,0,1,default,default,CF,html,Conversion Factors,,,eRA curators
14,1,0,1,default,default,conditions,html,Conditions of Use,,,eRA curators
16,1,0,1,default,default,credits,html,Credits: past and present staff involved in eRA,,,eRA curators
17,1,0,1,default,default,dataQuality,html,Data Quality in e-RA,,,eRA curators
12,1,0,1,default,default,datasets,php,All the Datasets,,,eRA curators
19,1,0,1,default,default,error,html,Error - 404,,,eRA curators
13,1,0,1,default,default,experiments,html,All the experiments,,,eRA curators
20,1,0,1,default,default,howtoaccessdata,html,How to access data,,,eRA curators
21,1,0,1,default,default,howtocredit,html,How to credit materials,,,eRA curators
22,0,0,0,default,default,index,html,index,,,eRA curators
18,1,0,1,default,default,instrumentdescription,html,Description of the instruments for measuring met data,,,eRA curators
23,1,0,1,default,default,register,html,Registration Forms,,,eRA curators
25,0,0,0,default,docs,index,html,Default Index page,,,eRA curators
26,1,0,1,default,met,derived_variables,html,Derived Meterological Variables,,,eRA curators
27,0,0,1,default,met,equipment,html,Measuring the weather,,,eRA curators
31,0,0,0,default,met,index,html,Weather data on e-RA,,,eRA curators
28,1,0,1,default,met,instrumentdescription,html,Measuring the weather,,,eRA curators
30,1,0,1,default,met,public,html,Weather data for the public,,,eRA curators
29,1,0,0,default,met,schools,html,Weather data for schools,,,eRA curators
32,0,0,0,experiment,rag6,index,html,index,,,eRA curators
36,1,0,1,experiment,rbk1,disease,html,Disease surveys,"Information about the wheat root and stem diseases assessed (take-all, eyespot, sharp eyespot and brown foot rot)",,eRA curators
37,1,0,1,experiment,rbk1,earthworms,html,Earthworms,Information about earthworm measurements on Broadbalk,,eRA curators
38,1,0,1,experiment,rbk1,grainquality,html,Grain quality assessment,"Description of what grain quality data is available (TGWs, Hagberg falling number ,Hectolitre weights, grain size categories), and analytical methods used",,eRA curators
39,0,0,0,experiment,rbk1,index,html,index,,,eRA curators
40,0,0,0,experiment,rbk1,medialist,html,List of Media,This is included at the top of the Media page to list media that is not in the media database like Videos,,eRA curators
34,1,0,1,experiment,rbk1,nutrients,html,Crop nutrient content,"Information about analytical methods for crop macro nutrient content (% N, P, K, Ca, Mg, Na and S)",,eRA curators
33,1,0,1,experiment,rbk1,outreach,html,Broadbalk Dataset for School,Scholastic Dataset,,eRA curators
42,1,1,1,experiment,rbk1,plans,html,Plans and treatments,"Experimental plans, fertilizer treatments, chalk, cropping details, and dates of key field operations, 1852-present",,eRA curators
43,1,0,1,experiment,rbk1,soilchem,html,Soil chemical properties,"Details of which soil chemical properties have been measured, analytical methods used and soil sampling methods",,eRA curators
44,1,0,1,experiment,rbk1,soilphys,html,Soil physical properties and site details,"Site details, plot area, soil moisture and drainage, soil description and texture and soil weights ",,eRA curators
45,0,0,0,experiment,rbk1,soils,html,Soils - deprecated,Deprecated ,,eRA curators
46,1,0,1,experiment,rbk1,weeds,html,Weeds surveys,"Information about the weed surveys on Section 8 (no herbicides), 1991-present, and earlier surveys on the whole experiment, 1933-1979. ",,eRA curators
47,1,0,1,experiment,rbk1,yields,html,Wheat yield background information,Description of harvest methods and datasets available,,eRA curators
41,1,0,1,experiment,rbk1,yields_other_crops,html,Other crops and fallow,"Description of potatoes, oats, beans and forage maize crops grown on Broadbalk, and the management of the fallow",,eRA curators
48,0,0,0,experiment,rbk1w,index,html,index,,,eRA curators
49,0,0,0,experiment,rbn7,index,html,index,,,eRA curators
51,0,0,0,experiment,rcs10,index,html,index,,,eRA curators
52,1,1,1,experiment,rcs10,plans,html,Plans and treatments,"Experimental plans, lime and fertilizer treatments details 1962-1996",,eRA curators
53,0,0,0,experiment,rcs326,index,html,index,,,eRA curators
54,0,0,0,experiment,rcs408,index,html,index,,,eRA curators
