id,year,plot,wheat variety,fertiliser treatment,Numbers of Cirsium arvense
1,1991,2.1,Apollo,FYM N2,2
2,1991,2.2,Apollo,FYM,0
3,1991,3,Apollo,Nil,1
4,1991,5,Apollo,PK Mg,0
5,1991,6,Apollo,N1 PKMg,0
6,1991,7,Apollo,N2 PKMg,0
7,1991,8,Apollo,N3PKMg,2
8,1991,9,Apollo,N4 PKMg,0
9,1991,10,Apollo,N2,7
10,1991,11,Apollo,N2 P,0
11,1991,12,Apollo,N2 P Na,1
12,1991,13,Apollo,N2 PK ,0
13,1991,14,Apollo,N2 PKMg*,1
14,1991,15,Apollo,N5 PKMg,1
15,1991,16,Apollo,N6 PKMg,0
16,1991,17,Apollo,N0+N3 1/2[PKMg](A),0
17,1991,18,Apollo,N1+N3 1/2[PKMg](A),0
18,1991,19,Apollo,( C),2
19,1992,2.1,Apollo,FYM N2,1
20,1992,2.2,Apollo,FYM,1
21,1992,3,Apollo,Nil,2
22,1992,5,Apollo,PK Mg,1
23,1992,6,Apollo,N1 PKMg,4
24,1992,7,Apollo,N2 PKMg,1
25,1992,8,Apollo,N3PKMg,1
26,1992,9,Apollo,N4 PKMg,6
27,1992,10,Apollo,N2,9
28,1992,11,Apollo,N2 P,3
29,1992,12,Apollo,N2 P Na,5
30,1992,13,Apollo,N2 PK ,0
31,1992,14,Apollo,N2 PKMg*,0
32,1992,15,Apollo,N5 PKMg,2
33,1992,16,Apollo,N6 PKMg,3
34,1992,17,Apollo,N1+N3 1/2[PKMg](A),0
35,1992,18,Apollo,N0+N3 1/2[PKMg](A),0
36,1992,19,Apollo,( C),2
37,1993,2.1,Apollo,FYM N2,8
38,1993,2.2,Apollo,FYM,4
39,1993,3,Apollo,Nil,1
40,1993,5,Apollo,PK Mg,7
41,1993,6,Apollo,N1 PKMg,12
42,1993,7,Apollo,N2 PKMg,13
43,1993,8,Apollo,N3PKMg,15
44,1993,9,Apollo,N4 PKMg,21
45,1993,10,Apollo,N2,18
46,1993,11,Apollo,N2 P,5
47,1993,12,Apollo,N2 P Na,8
48,1993,13,Apollo,N2 PK ,9
49,1993,14,Apollo,N2 PKMg*,5
50,1993,15,Apollo,N5 PKMg,2
51,1993,16,Apollo,N6 PKMg,3
52,1993,17,Apollo,N0+N3 1/2[PKMg](A),5
53,1993,18,Apollo,N1+N3 1/2[PKMg](A),1
54,1993,19,Apollo,( C),1
55,1994,2.1,Apollo,FYM N2,NA
56,1994,2.2,Apollo,FYM,NA
57,1994,3,Apollo,Nil,NA
58,1994,5,Apollo,PK Mg,NA
59,1994,6,Apollo,N1 PKMg,NA
60,1994,7,Apollo,N2 PKMg,NA
61,1994,8,Apollo,N3PKMg,NA
62,1994,9,Apollo,N4 PKMg,NA
63,1994,10,Apollo,N2,NA
64,1994,11,Apollo,N2 P,NA
65,1994,12,Apollo,N2 P Na,NA
66,1994,13,Apollo,N2 PK ,NA
67,1994,14,Apollo,N2 PKMg*,NA
68,1994,15,Apollo,N5 PKMg,NA
69,1994,16,Apollo,N6 PKMg,NA
70,1994,17,Apollo,N1+N3 1/2[PKMg](A),NA
71,1994,18,Apollo,N0+N3 1/2[PKMg](A),NA
72,1994,19,Apollo,( C),NA
73,1995,2.1,Apollo,FYM N2,11
74,1995,2.2,Apollo,FYM,14
75,1995,3,Apollo,Nil,0
76,1995,5,Apollo,PK Mg,11
77,1995,6,Apollo,N1 PKMg,15
78,1995,7,Apollo,N2 PKMg,18
79,1995,8,Apollo,N3PKMg,21
80,1995,9,Apollo,N4 PKMg,25
81,1995,10,Apollo,N2,23
82,1995,11,Apollo,N2 P,7
83,1995,12,Apollo,N2 P Na,15
84,1995,13,Apollo,N2 PK ,10
85,1995,14,Apollo,N2 PKMg*,9
86,1995,15,Apollo,N5 PKMg,15
87,1995,16,Apollo,N6 PKMg,18
88,1995,17,Apollo,N0+N3 1/2[PKMg](A),12
89,1995,18,Apollo,N1+N3 1/2[PKMg](A),3
90,1995,19,Apollo,( C),2
91,1996,2.1,Hereward,FYM N2,6
92,1996,2.2,Hereward,FYM,14
93,1996,3,Hereward,Nil,0
94,1996,5,Hereward,PK Mg,15
95,1996,6,Hereward,N1 PKMg,20
96,1996,7,Hereward,N2 PKMg,17
97,1996,8,Hereward,N3PKMg,16
98,1996,9,Hereward,N4 PKMg,17
99,1996,10,Hereward,N2,19
100,1996,11,Hereward,N2 P,8
101,1996,12,Hereward,N2 P Na,8
102,1996,13,Hereward,N2 PK ,8
103,1996,14,Hereward,N2 PKMg*,10
104,1996,15,Hereward,N5 PKMg,13
105,1996,16,Hereward,N6 PKMg,14
106,1996,17,Hereward,N1+N3 1/2[PKMg](A),8
