id,plot,section,species,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,2.1,8,Cirsium arvense,2,1,8,NA,11,6,10,1,16,11,NA,7,9,4,12,7,14,NA,10,6,7,1,13,11,NA,NA,0,0
2,2.2,8,Cirsium arvense,0,1,4,NA,14,14,11,4,14,17,NA,8,14,3,8,3,9,NA,7,8,10,0,16,16,NA,NA,0,0
3,3,8,Cirsium arvense,1,2,1,NA,0,0,4,3,5,12,NA,6,7,2,0,5,9,NA,1,0,0,1,5,12,NA,NA,0,0
4,5,8,Cirsium arvense,0,1,7,NA,11,15,10,6,12,13,NA,7,7,5,12,11,14,NA,0,1,0,0,5,7,NA,NA,0,0
5,6,8,Cirsium arvense,0,4,12,NA,15,20,17,17,11,15,NA,5,8,4,14,18,14,NA,1,1,0,1,3,7,NA,NA,0,1
6,7,8,Cirsium arvense,0,1,13,NA,18,17,13,8,10,18,NA,11,3,4,19,21,17,NA,1,0,2,3,8,8,NA,NA,0,0
7,8,8,Cirsium arvense,2,1,15,NA,21,16,17,6,6,18,NA,3,2,2,10,7,9,NA,0,5,4,0,11,10,NA,NA,0,1
8,9,8,Cirsium arvense,0,6,21,NA,25,17,17,8,15,17,NA,14,21,9,11,3,4,NA,3,3,6,4,19,14,NA,NA,1,1
9,10,8,Cirsium arvense,7,9,18,NA,23,19,24,22,22,20,NA,1,0,0,7,8,12,NA,0,0,0,2,11,11,NA,NA,0,0
10,11,8,Cirsium arvense,0,3,5,NA,7,8,13,12,22,22,NA,1,1,0,1,3,6,NA,0,0,1,0,0,1,NA,NA,0,0
11,12,8,Cirsium arvense,1,5,8,NA,15,8,12,19,19,24,NA,2,0,1,0,1,2,NA,2,0,1,1,7,7,NA,NA,0,1
12,13,8,Cirsium arvense,0,0,9,NA,10,8,11,11,13,15,NA,0,3,1,7,6,11,NA,1,3,3,1,5,2,NA,NA,1,1
13,14,8,Cirsium arvense,1,0,5,NA,9,10,7,9,11,10,NA,2,4,3,14,15,21,NA,1,6,1,3,8,5,NA,NA,0,0
14,15,8,Cirsium arvense,1,2,2,NA,15,13,6,3,1,12,NA,5,13,5,15,8,8,NA,4,1,4,2,6,8,NA,NA,0,0
15,16,8,Cirsium arvense,0,3,3,NA,18,14,4,0,1,13,NA,7,13,4,10,0,6,NA,1,2,0,0,3,2,NA,NA,0,0
16,17,8,Cirsium arvense,0,0,5,NA,12,8,5,3,3,10,NA,3,1,1,5,3,9,NA,1,2,5,1,4,2,NA,NA,0,0
17,18,8,Cirsium arvense,0,0,1,NA,3,2,0,2,6,13,NA,0,0,1,0,0,0,NA,0,2,2,0,0,1,NA,NA,0,0
18,19,8,Cirsium arvense,2,2,1,NA,2,2,4,0,14,12,NA,0,0,0,0,0,2,NA,0,0,0,0,0,0,NA,NA,0,0
