Year,Phase,Treatment code,Treatment  kg P as triple superphosphate kgP/ha,Plot,Sub-plot , Yield of  spring barley grain  at 85% dry matter t/ha , Yield of  spring barley straw  at 85% dry matter  t/ha, Yield of  winter* wheat grain  at 85% dry matter  t/ha  (*spring wheat in 2001), Yield of winter* wheat straw  at 85% dry matter  t/ha (*spring wheat in 2001),% P in grain,% P in straw,P uptake in grain kg/ha,P uptake in straw kg/ha,Total P uptake grain plus straw kg/ha,Olsen P mg/kg,Total P mg/kg
1974,III,P0,0,1,011,,,,,,,,,,2.8,362
1974,III,P0,0,1,012,,,,,,,,,,2.8,362
1974,III,P0,0,1,013,,,,,,,,,,2.5,352
1974,III,P0,0,1,014,,,,,,,,,,2.5,352
1974,III,P0,0,3,031,,,,,,,,,,12.7,544
1974,III,P0,0,3,032,,,,,,,,,,12.7,544
1974,III,P0,0,3,033,,,,,,,,,,12.1,531
1974,III,P0,0,3,034,,,,,,,,,,12.1,531
1974,III,P0,0,5,051,,,,,,,,,,3.3,363
1974,III,P0,0,5,052,,,,,,,,,,3.3,363
1974,III,P0,0,5,053,,,,,,,,,,2.7,358
1974,III,P0,0,5,054,,,,,,,,,,2.7,358
1974,III,P0,0,7,071,,,,,,,,,,7.9,487
1974,III,P0,0,7,072,,,,,,,,,,7.9,487
1974,III,P0,0,7,073,,,,,,,,,,7.8,463
1974,III,P0,0,7,074,,,,,,,,,,7.8,463
1974,III,P0,0,9,091,,,,,,,,,,11.7,516
1974,III,P0,0,9,092,,,,,,,,,,11.7,516
1974,III,P0,0,9,093,,,,,,,,,,9.2,480
1974,III,P0,0,9,094,,,,,,,,,,9.2,480
1975,III,Fallow,Fallow,1,011,,,,,,,,,,,
1975,III,Fallow,Fallow,1,012,,,,,,,,,,,
1975,III,Fallow,Fallow,1,013,,,,,,,,,,,
1975,III,Fallow,Fallow,1,014,,,,,,,,,,,
1975,III,Fallow,Fallow,3,031,,,,,,,,,,,
1975,III,Fallow,Fallow,3,032,,,,,,,,,,,
1975,III,Fallow,Fallow,3,033,,,,,,,,,,,
1975,III,Fallow,Fallow,3,034,,,,,,,,,,,
1975,III,Fallow,Fallow,5,051,,,,,,,,,,,
1975,III,Fallow,Fallow,5,052,,,,,,,,,,,
1975,III,Fallow,Fallow,5,053,,,,,,,,,,,
1975,III,Fallow,Fallow,5,054,,,,,,,,,,,
1975,III,Fallow,Fallow,7,071,,,,,,,,,,,
1975,III,Fallow,Fallow,7,072,,,,,,,,,,,
1975,III,Fallow,Fallow,7,073,,,,,,,,,,,
1975,III,Fallow,Fallow,7,074,,,,,,,,,,,
1975,III,Fallow,Fallow,9,091,,,,,,,,,,,
1975,III,Fallow,Fallow,9,092,,,,,,,,,,,
1975,III,Fallow,Fallow,9,093,,,,,,,,,,,
1975,III,Fallow,Fallow,9,094,,,,,,,,,,,
1976,III,P0,0,1,011,0.01,0.05,,,0.233,0.056,0.0,0.0,0.0,,
