"Hoosfield Barley. Total Organic Carbon in topsoil, 0-23cm",,,,,,,,,,
,,,,,,,,,,
,"Total Soil Organic Carbon tha-1, 0-23cm",,,,,,,,,
,,,,,,,,,,
,,Unfertilized,FYM,FYM 1852-1871 ,,,,,,
,1852,30.7,30.7,30.7,,,,,,
,1882,26.5,59.9,51.4,,,,,,
,1913,26.8,75.5,43.2,,,,,,
,1946,25.3,76.3,38.8,,,,,,
,1965,24.2,87.2,35.4,,,,,,
,1975,26.5,86.8,41.4,,,,,,
,1982,23.3,85.4,35.4,,,,,,
,1998,27.4,93.0,39.3,,,,,,
,,,,,,,,,,
Estimated/assumed,,,,,,,,,,
Soil at 100% dry matter,,,,,,,,,,
"FYM treatment adjusted for decrease in soil weight (Jenkinson & Johnston, 1977)",,,,,,,,,,
"Adjusted for different sieve sizes in 1913 and 1946 (Jenkinson & Johnston, 1977)",,,,,,,,,,
,,,,,,,,,,
Fertilizer and organic manures: ,,,,,,,,,,
Unfertilized,,"No fertilizer or manure applied since 1852, plot 11",,,,,,,,
FYM,,"35t ha-1 of farmyard manure applied each year since 1852, plot 72",,,,,,,,
FYM 1852-1871,,"35t ha-1 of farmyard manure applied each year 1852-1871 only, plot 71",,,,,,,,
,,,,,,,,,,
"Spring barley grown every year, except 1912, 1933, 1943 and 1967 when the whole experiment was fallowed to control weeds.",,,,,,,,,,
,,,,,,,,,,
References:,,,,,,,,,,
"Jenkinson, D.S and Johnston, A.E. (1977). ""Soil Organic Matter in the Hoosfield Continuous Barley Experiment,"" Rothamsted Experimental Station Report for 1976, Part 2, 87-101",,,,,,,,,,
https://doi.org/10.23637/ERADOC-1-34448,,,,,,,,,,
,,,,,,,,,,
"Johnston, A. E. , Poulton, P. R. and Coleman, K. (2009) ""Soil organic matter: its importance in sustainable agriculture and carbon dioxide fluxes"", Advances in Agronomy, 101: 1-57",,,,,,,,,,
https://doi.org/10.1016/S0065-2113(08)00801-8,,,,,,,,,,
,,,,,,,,,,
"For full details, refer to the e-RA website: ",,,,,,,,,,
http://www.era.rothamsted.ac.uk/Hoosfield,,,,,,,,,,
