Rothamsted 30-year mean weather data 1971-2000,,,,,,,,,,,
,,,,,,,,,,,
Month,Total rain ,Total rain L,Total sunshine,Mean maximum temperature,Mean minimum temperature,Mean average temperature ,  Mean soil temperature 30 cm under grass, Mean soil temperature 100 cm under grass,Mean wind speed,Evaporation,Mean daily radiation
,mm,mm,Hours, ºC, ºC,ºC,ºC,ºC,km/hour,mm,J/cm2
,5 inch,1/1000 acre,,,,,,,,,
January,69.7,73.1,55.1,6.34,0.86,3.60,4.84,6.62,10.12,10.6,231.1
February,48.8,51.8,70.7,6.71,0.74,3.72,4.58,5.93,10.05,15.1,441.7
March,53.9,56.5,107.2,9.49,2.33,5.91,5.93,6.22,10.21,32.4,788.8
April,53.5,56.9,146.8,11.94,3.62,7.78,8.07,7.40,9.43,55.7,1235.3
May,49.7,53.1,194.9,15.75,6.32,11.04,11.29,9.48,8.08,84.2,1633.6
June,60.2,63.5,190.3,18.60,9.21,13.90,14.26,11.91,6.80,97.8,1745.9
July,42.1,44.6,203.3,21.42,11.36,16.39,16.22,13.91,6.21,114.7,1696.7
August,53.7,57.1,196.8,21.43,11.35,16.39,16.43,14.91,6.26,111.4,1453.7
September,61.0,65.3,142.3,17.99,9.44,13.72,14.56,14.38,6.83,75.4,1009.8
October,74.7,79.7,112.1,13.74,6.65,10.20,11.90,12.81,7.56,39.8,605.0
November,66.2,70.9,70.1,9.38,3.33,6.36,8.60,10.51,8.59,17.7,308.6
December,70.1,74.5,48.1,7.19,1.92,4.56,6.19,8.24,9.71,11.5,180.0
,,,,,,,,,,,11330.2
Year (Total or Mean),703.5,747.0,1537.7,13.33,5.59,9.46,10.24,10.19,8.32,666.4,944.2
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
