Rothamsted 30-year mean weather data 1991-2020,,,,,,,,,
,,,,,,,,,
Month,Total rain ,Total sunshine,Mean maximum temperature,Mean minimum temperature,Mean average temperature ,  Mean soil temperature 30 cm under grass, Mean soil temperature 100 cm under grass,Mean wind speed,Mean daily radiation
,mm,hours, ºC, ºC,ºC,ºC,ºC,km/hour,J/cm2
,,,,,,,,,
January,74.1,63.9,7.0,1.6,4.31,5.1,7.0,10.2,245.6
February,56.9,86.2,7.6,1.5,4.54,5.0,6.3,10.3,476.3
March,47.1,128.4,10.3,2.9,6.56,6.5,6.8,10.1,857.3
April,54.0,172.0,13.4,4.5,8.94,9.1,8.3,8.9,1336.8
May,53.3,203.3,16.5,7.3,11.91,12.3,10.6,8.1,1677.3
June,54.8,205.8,19.5,10.2,14.86,15.3,13.0,7.1,1826.4
July,55.5,206.8,22.0,12.3,17.16,17.1,14.9,6.8,1756.0
August,72.0,189.4,21.6,12.3,16.97,17.2,15.8,6.8,1468.6
September,57.7,150.7,18.5,10.2,14.36,15.3,15.2,7.1,1058.7
October,81.3,113.0,14.3,7.5,10.91,12.4,13.5,7.9,610.7
November,81.2,72.2,10.1,4.2,7.16,9.1,11.0,8.4,314.2
December,75.6,60.8,7.4,2.0,4.69,6.3,8.6,9.6,198.1
,,,,,,,,,
Year (Total or Mean),763.5,1652.6,14.04,6.40,10.22,10.92,10.94,8.43,987.7
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
