Saxmundham monthly meteorological data summaries 1966 - 1985.,,,,,,,,,,
Year,Month,Mean air temperature ,Mean dew point ,Mean soil temperature under bare ground at 30cm ,Total monthly ground frosts,Total monthly rainfall ,Total monthly rain days,Mean wind speed ,Mean solar radiation,Total monthly open water evaporation
,,(°C),(°C),(°C),(days month-1),(mm month-1),(days month-1),(kph),(MJ m-2 day-1),(mm month-1)
1966,Jan,2.6,*,*,*,58.4,15,*,*,*
1966,Feb,5.2,*,*,*,52.3,15,*,*,*
1966,Mar,5.3,*,*,*,18,11,*,*,*
1966,Apr,7.3,*,*,*,52.6,16,*,*,*
1966,May,11.6,*,*,*,41.7,13,*,*,*
1966,June,14.9,*,*,*,65,10,*,*,*
1966,July,13.3,*,*,*,84.3,8,*,*,*
1966,Aug,14.1,*,*,*,81.3,12,*,*,*
1966,Sept,12.6,*,*,*,13,5,*,*,*
1966,Oct,10.9,*,*,*,109.5,19,*,*,*
1966,Nov,5,*,*,*,86.1,20,*,*,*
1966,Dec,4.3,*,*,*,80,24,*,*,*
1967,Jan,3.6,*,3.1,*,41.2,15,10.5,2.9,*
1967,Feb,5.2,*,4.3,*,39.1,11,14.3,4.5,*
1967,Mar,7.4,*,6,*,21.1,8,15.8,8.1,*
1967,Apr,7,*,7.3,*,57.4,15,12.6,10.5,42$
1967,May,10.6,*,11.2,*,70.1,22,12.2,13.9,84
1967,June,13.4,*,16.4,*,19.1,6,8.4,*,122
1967,July,17.3,*,19.7,*,71.9,11,8.1,*,155
1967,Aug,16.2,*,18.1,*,71.9,11,7.6,12.1,103
1967,Sept,14.1,*,14.7,*,71.9,22,9.7,8.1,82
1967,Oct,11.6,*,11.3,*,72.4,19,13,5.2,39
1967,Nov,5.8,*,6,*,72.4,14,8.7,1.8,*
1967,Dec,3.2,*,3.7,*,41.7,13,11.8,2.3,*
1968,Jan,2.6,0,3.7,15,63.5,14,13.1,2.3,*
1968,Feb,2.2,-1.5,2.7,18,60.2,12,10.3,3.2,*
1968,Mar,6.4,2.5,5.1,7,28.2,13,15.5,7.4,*
1968,Apr,8.1,3,8.3,7,26.7,12,10.8,12.8,87
1968,May,10,6.5,11.4,7,42.2,14,8.6,12.6,64
1968,June,14.4,11,16.1,0,56.1,18,8,14.6,93
1968,July,14.7,12,16.8,0,64,9+,7.2,12.8,84
1968,Aug,15.7,12,16.3,0,72.9,18,9.2,10.3,76
1968,Sept,14.3,11,14.8,0,138.2,16,10,8.6,62
1968,Oct,12.6,10,12.5,0,50.6,12,9.4,4.4,28
1968,Nov,6.7,4,8,7,40.6,23,10.3,2.3,*
1968,Dec,2.4,-1,4.8,16,44.7,13,9.9,2.4,*
1969,Jan,5.2,1.4,4.8,9,49.5,15,11.3,4.2,*
1969,Feb,0.3,-4.6,2.5,18,72.9,11,13.1,3.9,*
1969,Mar,3,-1.3,3.7,12,55.4,11,12,4.9,7
1969,Apr,7.1,2.3,7.3,10,35.6,11,12.4,9.6,55
1969,May,11.4,7.8,11.7,2,91.7,18,9.9,14,83
1969,June,13.6,9.2,15.1,1,38.9,13+,8.6,15.1,100
1969,July,17.4,12.8,19,0,99.3,5+,6.3,12.5+,118
1969,Aug,16.4,12.6,17.2,0,73.4,14,6.9,10.7,83
1969,Sept,14.3,10.8,15.6,0,1.5,3,8,8.4,62
1969,Oct,12.8,8.8,13,0,7.1,6,7.4,5.4,33
1969,Nov,5.8,1.8,7.1,11,99.3,14,12.7,2.5,*
1969,Dec,2.6,0.5,3.7,12+,76,13+,11.2,1.7,*
1970,Jan,3.8,0.9,4.2,7,72.4,16,11.1,5.3,*
1970,Feb,3.4,-1.3,2.8,9,55.1,22,13.4,5.3,*
1970,Mar,3.3,-1,3.8,15,51.3,17,12.2,6.2,16$
1970,Apr,6.1,1.9,6.3,14,53.6,24,11.9,8.6,40
1970,May,11.9,6.3,12.8,1,18,6,9.8,14,105
1970,June,15.1,10.3,17.6,0,8.4,4+,8.4,17,133
1970,July,14.6,9.7,17.2,0,27.9,9+,9.2,12.9,98
1970,Aug,15.9,10.4,17.8,0,20.8,7,8,11.9,113
1970,Sept,14.7,8.2,15.3,0,62,7,8.5,8.4,83
1970,Oct,10.9,5.4,11.6,3,24.6,8,10,5,49
1970,Nov,7.6,3.1,8.1,0,150.6,17,12.6,*,28
1970,Dec,3.9,0,5.7,2+,34,8+,10,*,*
1971,Jan,3.8,0.6,4.3,13,86,17,10.6,3.2,*
1971,Feb,4.4,0,5,13,20,8,9.3,4.2,*
1971,Mar,4.3,0,5.1,14,39,18,11.1,5.4,35$
1971,Apr,6.9,2.8,7.9,9,15,5,10.3,6.6,13
1971,May,11.2,6.7,12.5,3,23,8,6.7,12.9,105
1971,June,11.9,8.9,12.7,0,83,12,8.4,10.6,102
1971,July,16.3,13.9,18.2,0,76,6,4.8,11.3,140
1971,Aug,16.7,13.3,17.2,0,60,15,7.1,8.9,113
1971,Sept,14.6,11.1,15.3,0,39,5,6,7.2,70
1971,Oct,11.7,8.9,11.8,5,62,10,9.2,4.3,50
1971,Nov,6.5,4.4,7,12,102,17,11.3,2.3,*
1971,Dec,6,4.4,5,7,29,9,10,3.2,*
1972,Jan,3.7,1.7,4.3,13,62,10,10.9,3.1,*
1972,Feb,4.3,2.8,4.1,10,32,9,9.7,3.4,*
1972,Mar,6.5,3.9,5.6,17,31,8,11.6,6.1,15$
1972,Apr,8,4.4,8.3,4,45,16,13.5,7.5,64
1972,May,10.7,7.2,11.3,1,39,15,11.7,10.4,100
1972,June,12.3,10,13.2,0,44,12,8.7,10.3,90
1972,July,15.7,11.7,17.4,0,51,8,6.1,10.2,96
1972,Aug,15.3,11.1,15.9,0,10,4,7.6,9.1,97
1972,Sept,11.9,8.9,13,0,66,7,6.9,5.5,69
1972,Oct,10.5,7.8,10.9,5,6,4,9.2,3.5,38
1972,Nov,5.8,3.9,6.9,7,49,12,11.9,2.3,17
1972,Dec,5.7,4.4,5.9,6,30,10,11.1,,*
1973,Jan,4.4,2.8,4,5+,17,8,7.1,,*
1973,Feb,3.8,1.7,4,15,28,12,11.3,,*
1973,Mar,6.2,3.3,5.7,19,13,6,9.2,,*
1973,Apr,6.4,3.3,6.9,12,62,10,12.4,,34$
1973,May,10.8,8.3,11.5,3,62,15,9.8,,79
1973,June,14.5,11.1,17.1,1,25,4,6.8,,120
1973,July,15.5,11.7,18.5,0,73,11,6.1,,92
1973,Aug,16.8,13.3,17.8,0,26,8+,6.9,,106
1973,Sept,14.5,11.7,15.7,0,86,11,8.4,,93
1973,Oct,9.3,6.8,10.5,8,39,8,7.7,,39
1973,Nov,5,3.3,6,13,28,5,11.9,,9
1973,Dec,4.4,3.9,4.4,11,35,9,12.1,,*
1974,Jan,5.6,4.4,5.3,8,38,14,15.1,,*
1974,Feb,5.2,3.3,5.6,7,50,13,13.5,,*
1974,Mar,5.7,3.9,5.8,9,26,8,10.8,,*
1974,Apr,8.1,4.5,8.7,5,12,4,11.4,,88
1974,May,10.6,7.2,11.9,7,10,6,10.6,,131
1974,June,14,9.5,15.5,1,31,9,7.9,,125
1974,July,15.2,11.1,15.9,0,46,9+,8.4,,127
1974,Aug,15.8,12.2,16.5,0,67,10+,6.9,,93
1974,Sept,12.6,10,13.5,2,106,16,9.8,,78
1974,Oct,7.3,5.5,8.5,4,84,19,10,,33
1974,Nov,6.3,5.5,7.7,6,121,19,11.6,,28
1974,Dec,7.3,5.5,6.1,3+,33,8+,16.7,,*
1975,Jan,6.4,5,6.1,3,94,19,14.48,1.9,*
1975,Feb,4.5,2.8,4.8,18,13,5,7.89,4.8,*
1975,Mar,4.5,2.2,5.5,10+,65,19+,10.14,5,*
1975,Apr,6.9,5,7.5,9,48,18,10.46,10.3,*
1975,May,9.3,6.7,11.2,4,50,12,11.1,14.4,89
1975,June,13.5,9.4,15.8,1,23,8,8.05,19.4,117
1975,July,16.8,12.8,17.5,1,46,9,7.56,16.7,114
1975,Aug,18.5,16.1,19.9,0,28,7,6.6,16,124
1975,Sept,14.5,11.7,15.9,0,107,13,10.14,9.9,102
1975,Oct,10.4,7.8,11.2,1,19,10,7.72,5.7,51
1975,Nov,5.9,5,7.1,13,85,14,8.37,2.5,25
1975,Dec,4.2,2.8,4.6,15+,36,9+,8.05,1.6,*
1976,Jan,5.2,3.9,5.3,10,35.31,10,15.9,2.3,*
1976,Feb,4.3,3.3,3.8,16,22.1,8,9.8,3.2,*
1976,Mar,4.6,2.2,4.7,15,15.24,8,12.4,7.1,*
1976,Apr,7.8,3.9,8.7,9,11.68,6,11.5,13.2,92
1976,May,12.5,7.8,12.5,3,21.59,9,10.3,16.1,100
1976,June,16.9,12.2,17.8,2,9.14,3,7.6,21.5,155
1976,July,18.1,13.9,19.7,0,64.52,6,8.2,21.3,175
1976,Aug,17.1,14.4,19,0,52.32,7,8.6,16.2,127
1976,Sept,14,12.2,14.4,0,128.02,18,8.4,9.3,92
1976,Oct,11.3,10.6,12.4,1,109.22,19,10.5,4.4,13
1976,Nov,6.9,5.5,7.7,12,70.1,16,10,2.7,45
1976,Dec,2.7,1.7,3.9,16,46.23,13,11.2,1.9,*
1977,Jan,3.3,2.2,3.5,15,65,19,11.3,2.3,*
1977,Feb,5.6,3.9,4.7,12,71,15,12.4,3.6,*
1977,Mar,7.2,5,6.3,11,53,15,13.8,7.1,*
1977,Apr,7,2.8,6.9,13+,28,9+,14,10.8,51
1977,May,10,6.7,11.1,3,42,10+,12.9,15.7,98
1977,June,12.4,9.4,13.8,1,36,12,9.3,13,70
1977,July,15.6,12.8,17.5,0,10,6,8.3,15.3,92
1977,Aug,15.2,13.9,16.4,0,72,14,7.9,11.4,81
1977,Sept,13.8,11.1,14.5,0,17,9,10.2,8.7,54
1977,Oct,12,10.5,11.7,1,18,10,9.8,6.4,31
1977,Nov,6.9,5,7.5,6,69,18,15.8,3.2,27
1977,Dec,6.7,4.4,6.1,4,65,10,14,1.7,*
1978,Jan,3.4,1.7,3.7,18,63,14,13.9,1.7,*
1978,Feb,2.6,1.7,3.1,17,41,11,13.4,3.8,*
1978,Mar,6.6,4.4,5.8,14,73,18,14.8,7.6,*
1978,Apr,6.3,4.4,6.9,15,44,11,12.4,9.8,50
1978,May,10.8,8.3,11,2,17,5,9.2,15.6,90
1978,June,13.9,13.3,15.7,1,81,11,8.5,16.4,91
1978,July,14.8,13.9,15.6,0,38,10,7.5,13.2,78
1978,Aug,15.4,13.3,29.6,0,33,13,7.4,11.9,76
1978,Sept,14.2,11.7,14.4,2,39,9,11,10.2,67
1978,Oct,11.9,8.9,12.2,2,8,4,8,5.2,27
1978,Nov,8.8,3.9,8.9,8,20,6,12.2,3,20
1978,Dec,4.6,1.7,5.8,12,120,12,13.3,1.5,*
1979,Jan,0.1,0,2.2,21,88,14,12.4,1.9,*
1979,Feb,2.1,0,1.9,17,89,8,12.7,3.6,*
1979,Mar,5,2.8,4.3,12,63,16,15.8,6.5,*
1979,Apr,7.6,5,7.3,9,52,12,11.3,10.6,58
1979,May,11,7.8,11.1,9,68,11,11.5,15.5,93
1979,June,14.3,11.7,16.3,0,33,10,7.2,16.4,108
1979,July,17,11.7,17.7,0,27,7,7.3,16.1,171
1979,Aug,15.8,11.7,16.3,1,61,12,8,13,100
1979,Sept,14.6,10.5,15.3,4,26,4,9.5,11.4,110
1979,Oct,11.9,10.5,12.2,5,25,8,10,6,49
1979,Nov,6.5,5,6.8,14,48,13,10.7,2.7,15
1979,Dec,6,3.3,6.2,16,96,15,15,1.7,*
1980,Jan,2.6,1.1,2.8,28,39,10,10.1,2.3,*
1980,Feb,5.4,3.9,5.2,14,51,8,9.9,3.9,*
1980,Mar,5.3,3.9,5.2,16,51,15,12.3,5.9,*
1980,Apr,8,5,8.4,21,32,9,9.4,12.3,62
1980,May,10.7,6.7,13.2,10,1,3,10,18.5,122
1980,June,14.6,11.7,15.6,0,108,16,7.5,16.1,111
1980,July,15.2,12.8,15.6,0,55,12,8,14.5,84
1980,Aug,17,15,17.6,1,14,6,8.6,11.2,91
1980,Sept,15.8,13.3,15.3,0,25,4,9.6,10,81
1980,Oct,9.7,7.8,10.5,22,98,9,11.2,5.5,48
1980,Nov,6.6,5,12.6,17,54,11,15.1,1.9,23
1980,Dec,5.2,4.4,10.1,25,59,13,14.2,0.9,*
1981,Jan,4.7,3.9,4.6,13,54,12,11.4,2.1,*
1981,Feb,5.6,1.7,3.4,21,26,9,11.4,4.1,*
1981,Mar,8,6.7,6.4,10,103,19,13.9,5.3,*
1981,Apr,7.5,5,8.7,9,87,9,10.8,10.8,52
1981,May,11.5,9.4,11.5,4,61,15,8.8,14.3,80
1981,June,13.9,10.5,15.3,0,48,7,7.9,13.4,91
1981,July,16,12.2,17,0,69,8,6.4,15.4,93
1981,Aug,16.5,13.9,17.1,0,12,4,5.7,13.6,86
1981,Sept,15.5,12.8,15.3,0,86,12,10.1,10.2,83
1981,Oct,8.9,6.7,10.2,9,80,18,10.8,5.7,40
1981,Nov,7.7,6.1,8,11,51,11,11.2,2.4,17
1981,Dec,0.6,0,3.9,21,79,13,9.9,1.8,*
1982,Jan,3.5,2.8,3.4,23,36,11,10.6,2.2,*
1982,Feb,4.1,2.8,4.4,13,23,4,12.1,3.5,*
1982,Mar,5.5,3.9,5.4,17,48,13,13.2,9,*
1982,Apr,7.9,3.9,8.5,16,7,7,9.8,13.1,72
1982,May,11.6,8.3,12.6,6,48,10,8.2,17.5,115
1982,June,15.4,12.8,16.5,0,67,12,6.5,15.2,102
1982,July,17,13.3,18.2,0,17,9,7.4,16,107
1982,Aug,17.2,13.3,18.1,0,49,12,8.8,13,116
1982,Sept,15.6,12.8,15.2,1,50,14,8.3,10.3,81
1982,Oct,10.5,8.9,11.5,6,124,24,9.5,4.3,35
1982,Nov,8.5,7.2,9.1,7,70,17,15.9,2.4,35
1982,Dec,4.4,2.8,4.7,14,51,13,11.8,1.7,*
1983,Jan,6.3,4.4,6.2,9,57,12,16.7,2,*
1983,Feb,2.2,0,3.6,21,36,11,12.5,4.9,*
1983,Mar,6.2,3.3,5.8,15,34,17,12.6,6.9,*
1983,Apr,6.6,4.4,7.6,13,80,17,10.8,11,41
1983,May,9.6,5,11.2,5,83,24,9.3,12.6,79
1983,June,14.1,10.6,15.6,0,26,9,7.3,17.6,98
1983,July,18.2,15,18.4,0,37,6,6,18.8,129
1983,Aug,17.4,13.9,18,0,9,5,7.2,16.9,126
1983,Sept,14.2,12.2,14.8,0,74,16,11.6,8.2,70
1983,Oct,10.3,7.8,12.4,5,51,15,12,5.8,57
1983,Nov,6.8,5.6,9.3,6,52,9,7.7,2.4,20
1983,Dec,5.1,3.9,6.5,12,40,17,13.2,1.7,*
1984,Jan,3,1.1,4,23,102,20,15.1,2.4,*
1984,Feb,3,1.1,3.7,18,48,13,12,3.4,*
1984,Mar,3.9,3.3,4.8,18,60,14,10.8,6,*
1984,Apr,6.5,2.8,7.2,16,22,5,8.7,14.4,85
1984,May,8.4,7.2,10.8,9,62,13,*,11.1,69
1984,June,13.1,11.1,15.2,1,35,7,*,16,98
1984,July,15.7,11.9,17.1,1,53,12,6.1,15.8,107
1984,Aug,17.6,13.9,18.5,0,33,5,6.3,15.3,100
1984,Sept,13.7,11.7,14.1,0,89,21,9,7.7,75
1984,Oct,11.7,9.4,11.8,4,63,18,10.8,5.3,36
1984,Nov,9.2,7.8,9.4,4,64,16,11.3,2.3,16
1984,Dec,5.4,4.4,6.3,17,57,19,9,1.6,10
1985,Jan,0.9,1.1,3.1,29,90,21,12.9,2.1,*
1985,Feb,1.9,0.6,3.2,22,25,9,11.7,4.6,*
1985,Mar,4.1,1.7,4,11,50,20,12.7,7.1,*
1985,Apr,7.7,3.9,8.2,3,58,17,12.6,6.3,66
1985,May,10.3,8.3,11.2,5,53,14,9.6,12.5,75
1985,June,12.4,8.9,14.1,2,116,26,7.7,14.9,86
1985,July,16.8,12.8,17.8,0,43,13,7.6,16.3,104
1985,Aug,15.3,12.8,15.6,0,67,18,9.8,12.7,93
1985,Sept,14.9,11.7,14.9,1,14,7,7.8,8.4,29
1985,Oct,11.6,8.9,12.3,7,13,9,8.5,5.5,37
1985,Nov,5.5,3.9,6.1,8,41,13,11.5,3,11
1985,Dec,9.3,6.7,6.9,7,62,20,13.2,1.3,*
